base_timestamp,y_pred_h1,y_pred_h2,y_pred_h3,y_pred_h4,y_pred_h5,y_pred_h6,y_pred_h7,y_pred_h8,y_pred_h9,y_pred_h10,y_pred_h11,y_pred_h12,y_pred_h13,y_pred_h14,y_pred_h15,y_pred_h16,y_pred_h17,y_pred_h18,y_pred_h19,y_pred_h20,y_true_h1,y_true_h2,y_true_h3,y_true_h4,y_true_h5,y_true_h6,y_true_h7,y_true_h8,y_true_h9,y_true_h10,y_true_h11,y_true_h12,y_true_h13,y_true_h14,y_true_h15,y_true_h16,y_true_h17,y_true_h18,y_true_h19,y_true_h20
2018-03-27 07:00:00,7851.202,7847.143,7841.7773,7834.915,7841.2603,7841.717,7826.4497,7865.968,7852.4736,7822.1836,7817.5127,7811.0703,7810.1367,7819.5586,7816.7744,7819.6865,7818.2812,7836.644,7832.37,7814.3276,7765.0,7925.43017578125,7972.43017578125,7922.16015625,7943.31982421875,7931.64013671875,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125
2018-03-27 08:00:00,7758.742,7757.0557,7754.019,7752.373,7758.332,7757.1875,7738.9463,7783.838,7763.455,7733.414,7726.5938,7725.969,7722.5537,7731.9634,7729.877,7730.3335,7728.837,7750.167,7749.012,7730.8574,7925.43017578125,7972.43017578125,7922.16015625,7943.31982421875,7931.64013671875,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5
2018-03-27 09:00:00,7904.147,7910.9062,7913.7437,7910.5703,7919.1357,7915.599,7891.4526,7928.4033,7913.1113,7887.9453,7884.421,7882.3984,7881.882,7886.375,7887.5864,7884.3887,7884.8975,7905.382,7898.126,7885.651,7972.43017578125,7922.16015625,7943.31982421875,7931.64013671875,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0
2018-03-27 10:00:00,7951.105,7961.572,7966.707,7965.9224,7979.84,7973.6196,7951.204,7990.3486,7974.961,7949.0527,7951.9834,7950.4663,7955.3174,7959.256,7959.337,7959.1987,7961.3096,7986.4507,7980.746,7968.199,7922.16015625,7943.31982421875,7931.64013671875,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375
2018-03-27 11:00:00,7924.8535,7931.8555,7932.335,7934.3496,7944.8843,7938.7,7918.929,7960.3223,7946.239,7923.2344,7926.117,7925.7793,7930.922,7934.909,7936.1016,7938.2725,7936.1904,7961.5117,7954.505,7937.8687,7943.31982421875,7931.64013671875,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375,7862.27001953125
2018-03-27 12:00:00,7933.714,7936.43,7936.884,7931.6123,7941.3984,7934.869,7915.9404,7956.3213,7942.7627,7918.382,7919.546,7918.407,7926.2393,7927.549,7925.8906,7927.4746,7926.427,7946.6475,7942.4014,7925.5254,7931.64013671875,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375,7862.27001953125,7831.56005859375
2018-03-27 13:00:00,7926.263,7928.631,7929.246,7921.6245,7930.9854,7926.7207,7909.986,7949.666,7936.3105,7916.3115,7916.89,7913.27,7924.119,7928.2563,7924.3394,7921.7266,7922.617,7944.5146,7941.4697,7920.119,8006.02978515625,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375,7862.27001953125,7831.56005859375,7848.56982421875
2018-03-27 14:00:00,8002.1562,8006.999,8014.126,8012.192,8029.828,8026.9414,8010.5312,8051.4053,8039.3335,8017.6025,8019.8604,8010.332,8023.7656,8023.0464,8019.8516,8016.3643,8021.0684,8041.0107,8038.702,8018.66,7934.22998046875,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375,7862.27001953125,7831.56005859375,7848.56982421875,7891.60986328125
2018-03-27 15:00:00,7938.49,7939.718,7941.4907,7938.5156,7955.1914,7950.5703,7933.0205,7975.438,7962.577,7938.829,7938.9717,7929.6855,7938.0376,7936.091,7930.175,7928.6284,7930.813,7953.1914,7948.8096,7926.831,7947.27978515625,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375,7862.27001953125,7831.56005859375,7848.56982421875,7891.60986328125,7880.97021484375
2018-03-27 16:00:00,7955.8457,7959.7095,7967.0615,7961.361,7980.018,7978.6396,7962.6143,8006.215,7989.551,7968.6445,7966.823,7955.8296,7969.0596,7965.217,7954.334,7949.799,7956.468,7977.468,7979.3564,7962.5156,8100.0,8061.06982421875,8057.89013671875,8096.759765625,7914.60986328125,7885.22021484375,7894.08984375,7995.0,8005.27001953125,7969.43017578125,7791.7001953125,7799.5,7830.0,7828.990234375,7862.27001953125,7831.56005859375,7848.56982421875,7891.60986328125,7880.97021484375,7908.2099609375
