base_timestamp,y_pred_h1,y_pred_h2,y_pred_h3,y_pred_h4,y_pred_h5,y_true_h1,y_true_h2,y_true_h3,y_true_h4,y_true_h5
2018-01-22 07:00:00+00:00,11617.504,11617.504,11617.504,11617.504,11465.971,11541.580078125,11634.08984375,11473.26953125,11634.0302734375,11756.5
2018-01-22 08:00:00+00:00,11613.538,11613.538,11613.538,11563.045,11664.031,11634.08984375,11473.26953125,11634.0302734375,11756.5,11753.490234375
2018-01-22 09:00:00+00:00,11609.46,11659.936,11659.936,11558.983,11710.412,11473.26953125,11634.0302734375,11756.5,11753.490234375,11744.1103515625
2018-01-22 10:00:00+00:00,11504.421,11504.421,11554.879,11504.421,11504.421,11634.0302734375,11756.5,11753.490234375,11744.1103515625,11717.9501953125
2018-01-22 11:00:00+00:00,11450.217,11500.658,11450.217,11399.775,11551.1,11756.5,11753.490234375,11744.1103515625,11717.9501953125,11303.9296875
2018-01-22 12:00:00+00:00,11698.897,11749.324,11749.324,11698.897,11598.045,11753.490234375,11744.1103515625,11717.9501953125,11303.9296875,11343.240234375
2018-01-22 13:00:00+00:00,11897.366,11796.541,11897.366,11695.717,11695.717,11744.1103515625,11717.9501953125,11303.9296875,11343.240234375,10686.6904296875
2018-01-22 14:00:00+00:00,11894.645,11894.645,11894.645,11894.645,11844.244,11717.9501953125,11303.9296875,11343.240234375,10686.6904296875,10739.8603515625
2018-01-22 15:00:00+00:00,11790.977,11891.754,11790.977,11740.588,11790.977,11303.9296875,11343.240234375,10686.6904296875,10739.8603515625,10481.080078125
2018-01-22 16:00:00+00:00,11283.596,11182.85,11233.223,11233.223,11283.596,11343.240234375,10686.6904296875,10739.8603515625,10481.080078125,10588.91015625
2018-01-22 17:00:00+00:00,11380.534,11481.247,11380.534,11380.534,11380.534,10686.6904296875,10739.8603515625,10481.080078125,10588.91015625,10630.0
2018-01-22 18:00:00+00:00,10671.169,10822.176,10822.176,10771.84,10771.84,10739.8603515625,10481.080078125,10588.91015625,10630.0,10488.7802734375
2018-01-22 19:00:00+00:00,10817.349,10817.349,10817.349,10817.349,10767.035,10481.080078125,10588.91015625,10630.0,10488.7802734375,10619.5
2018-01-22 20:00:00+00:00,10561.002,10611.293,10762.164,10661.583,10510.711,10588.91015625,10630.0,10488.7802734375,10619.5,10399.8701171875
2018-01-22 21:00:00+00:00,10606.8955,10707.435,10606.8955,10405.816,10355.547,10630.0,10488.7802734375,10619.5,10399.8701171875,10350.0
2018-01-22 22:00:00+00:00,10702.887,10753.135,10803.383,10753.135,10702.887,10488.7802734375,10619.5,10399.8701171875,10350.0,10699.9697265625
2018-01-22 23:00:00+00:00,10447.089,10346.637,10346.636,10447.089,10447.089,10619.5,10399.8701171875,10350.0,10699.9697265625,10808.990234375
