base_timestamp,y_pred_h1,y_pred_h2,y_pred_h3,y_pred_h4,y_pred_h5,y_true_h1,y_true_h2,y_true_h3,y_true_h4,y_true_h5
2018-01-22 07:00:00+00:00,11617.504,11415.46,11617.504,11617.504,11516.482,11541.580078125,11634.08984375,11473.26953125,11634.0302734375,11756.5
2018-01-22 08:00:00+00:00,11613.538,11512.552,11512.552,11411.563,11209.589,11634.08984375,11473.26953125,11634.0302734375,11756.5,11753.490234375
2018-01-22 09:00:00+00:00,11710.411,11609.46,11407.556,11205.652,11306.604,11473.26953125,11634.0302734375,11756.5,11753.490234375,11744.1103515625
2018-01-22 10:00:00+00:00,11504.421,11504.421,11605.336,11605.336,11403.504,11634.0302734375,11756.5,11753.490234375,11744.1103515625,11717.9501953125
2018-01-22 11:00:00+00:00,11500.658,11399.775,11298.892,11198.009,11198.009,11756.5,11753.490234375,11744.1103515625,11717.9501953125,11303.9296875
2018-01-22 12:00:00+00:00,11799.75,11900.603,11900.603,11698.897,11799.75,11753.490234375,11744.1103515625,11717.9501953125,11303.9296875,11343.240234375
2018-01-22 13:00:00+00:00,11998.191,11998.191,12099.017,12099.017,11897.366,11744.1103515625,11717.9501953125,11303.9296875,11343.240234375,10686.6904296875
2018-01-22 14:00:00+00:00,11793.843,11693.04,11793.843,11793.843,11693.04,11717.9501953125,11303.9296875,11343.240234375,10686.6904296875,10739.8603515625
2018-01-22 15:00:00+00:00,11891.754,11891.754,11891.754,11992.531,11891.754,11303.9296875,11343.240234375,10686.6904296875,10739.8603515625,10481.080078125
2018-01-22 16:00:00+00:00,11283.596,11283.596,11283.596,11182.85,11283.596,11343.240234375,10686.6904296875,10739.8603515625,10481.080078125,10588.91015625
2018-01-22 17:00:00+00:00,11481.247,11481.247,11481.247,11380.534,11380.534,10686.6904296875,10739.8603515625,10481.080078125,10588.91015625,10630.0
2018-01-22 18:00:00+00:00,10771.84,10872.512,10771.84,10771.84,10671.169,10739.8603515625,10481.080078125,10588.91015625,10630.0,10488.7802734375
2018-01-22 19:00:00+00:00,10767.035,10666.409,10666.409,10666.409,10867.662,10481.080078125,10588.91015625,10630.0,10488.7802734375,10619.5
2018-01-22 20:00:00+00:00,10460.421,10561.002,10762.164,10963.326,10762.164,10588.91015625,10630.0,10488.7802734375,10619.5,10399.8701171875
2018-01-22 21:00:00+00:00,10456.086,10456.086,10355.546,10556.626,10456.086,10630.0,10488.7802734375,10619.5,10399.8701171875,10350.0
2018-01-22 22:00:00+00:00,10652.639,10753.135,10753.135,10753.135,10552.143,10488.7802734375,10619.5,10399.8701171875,10350.0,10699.9697265625
2018-01-22 23:00:00+00:00,10547.542,10447.089,10346.636,10547.542,10447.089,10619.5,10399.8701171875,10350.0,10699.9697265625,10808.990234375
2018-01-23 00:00:00+00:00,10643.92,10744.334,10543.506,10643.92,10643.92,10399.8701171875,10350.0,10699.9697265625,10808.990234375,10808.25
2018-01-23 01:00:00+00:00,10539.221,10940.715,10639.595,10639.595,10539.221,10350.0,10699.9697265625,10808.990234375,10808.25,10725.91015625
2018-01-23 02:00:00+00:00,10434.724,10334.39,10234.056,10133.722,10133.722,10699.9697265625,10808.990234375,10808.25,10725.91015625,10780.0
2018-01-23 03:00:00+00:00,10731.85,10832.147,10832.147,11032.742,11032.742,10808.990234375,10808.25,10725.91015625,10780.0,10850.0
2018-01-23 04:00:00+00:00,10728.069,10728.069,10527.545,10527.545,10627.807,10808.25,10725.91015625,10780.0,10850.0,10631.2099609375
2018-01-23 05:00:00+00:00,10925.091,10925.091,11025.321,10925.091,10925.091,10725.91015625,10780.0,10850.0,10631.2099609375,10439.150390625
2018-01-23 06:00:00+00:00,10721.016,10520.623,10620.819,10620.819,10620.819,10780.0,10850.0,10631.2099609375,10439.150390625,10350.0
2018-01-23 07:00:00+00:00,10817.486,10817.486,10717.324,10517.001,10517.001,10850.0,10631.2099609375,10439.150390625,10350.0,10310.0
2018-01-23 08:00:00+00:00,10813.742,10713.615,10813.742,10613.488,10713.615,10631.2099609375,10439.150390625,10350.0,10310.0,10729.099609375
2018-01-23 09:00:00+00:00,10709.306,10709.306,10809.393,10809.393,10809.393,10439.150390625,10350.0,10310.0,10729.099609375,10524.4404296875
2018-01-23 10:00:00+00:00,10404.434,10404.434,10604.519,10504.477,10404.434,10350.0,10310.0,10729.099609375,10524.4404296875,10362.3896484375
2018-01-23 11:00:00+00:00,10399.775,10399.775,10499.773,10399.775,10599.771,10310.0,10729.099609375,10524.4404296875,10362.3896484375,10196.4697265625
2018-01-23 12:00:00+00:00,10395.108,10295.155,10395.108,10495.0625,10595.016,10729.099609375,10524.4404296875,10362.3896484375,10196.4697265625,10260.099609375
2018-01-23 13:00:00+00:00,10690.266,10890.084,10989.992,10890.084,10989.992,10524.4404296875,10362.3896484375,10196.4697265625,10260.099609375,10317.7998046875
2018-01-23 14:00:00+00:00,10485.776,10485.776,10385.911,10485.776,10385.911,10362.3896484375,10196.4697265625,10260.099609375,10317.7998046875,10451.0
2018-01-23 15:00:00+00:00,10580.803,10480.983,10281.345,10281.345,10480.983,10196.4697265625,10260.099609375,10317.7998046875,10451.0,10774.6103515625
2018-01-23 16:00:00+00:00,10077.132,10077.132,10176.905,10276.679,10376.452,10260.099609375,10317.7998046875,10451.0,10774.6103515625,11370.0
2018-01-23 17:00:00+00:00,10372.14,10372.14,10172.676,10372.14,10471.872,10317.7998046875,10451.0,10774.6103515625,11370.0,11183.900390625
2018-01-23 18:00:00+00:00,10268.225,10268.225,10268.225,10268.225,10268.225,10451.0,10774.6103515625,11370.0,11183.900390625,11234.98046875
2018-01-23 19:00:00+00:00,10562.868,10463.219,10463.219,10463.219,10562.868,10774.6103515625,11370.0,11183.900390625,11234.98046875,11025.0
2018-01-23 20:00:00+00:00,10758.07,10758.07,10758.07,10758.07,10758.07,11370.0,11183.900390625,11234.98046875,11025.0,11128.4404296875
2018-01-23 21:00:00+00:00,11451.948,11451.948,11451.948,11352.366,11252.783,11183.900390625,11234.98046875,11025.0,11128.4404296875,10980.5400390625
2018-01-23 22:00:00+00:00,11248.921,11348.47,11348.47,11149.373,11049.825,11234.98046875,11025.0,11128.4404296875,10980.5400390625,11050.0
2018-01-23 23:00:00+00:00,11245.013,11145.499,11045.986,11145.499,11245.013,11025.0,11128.4404296875,10980.5400390625,11050.0,10851.8203125
2018-01-24 00:00:00+00:00,11041.928,10942.45,10842.974,10842.974,10743.497,11128.4404296875,10980.5400390625,11050.0,10851.8203125,10600.0
2018-01-24 01:00:00+00:00,11137.391,11137.391,11137.391,11336.273,11336.273,10980.5400390625,11050.0,10851.8203125,10600.0,10657.75
2018-01-24 02:00:00+00:00,11033.134,10933.736,11033.134,11132.531,11132.531,11050.0,10851.8203125,10600.0,10657.75,10770.3603515625
2018-01-24 03:00:00+00:00,11028.688,11028.688,10929.331,11128.046,11028.688,10851.8203125,10600.0,10657.75,10770.3603515625,10838.3798828125
2018-01-24 04:00:00+00:00,10924.821,11123.454,11024.138,10924.821,10924.821,10600.0,10657.75,10770.3603515625,10838.3798828125,10691.6103515625
2018-01-24 05:00:00+00:00,10423.594,10423.594,10423.594,10423.594,10522.866,10657.75,10770.3603515625,10838.3798828125,10691.6103515625,10640.240234375
2018-01-24 06:00:00+00:00,10617.163,10716.389,10716.389,10914.84,10716.389,10770.3603515625,10838.3798828125,10691.6103515625,10640.240234375,10959.7998046875
2018-01-24 07:00:00+00:00,10809.644,10908.814,10908.814,10908.814,10908.814,10838.3798828125,10691.6103515625,10640.240234375,10959.7998046875,10947.0703125
2018-01-24 08:00:00+00:00,10902.552,10803.4375,10902.552,10902.552,10803.4375,10691.6103515625,10640.240234375,10959.7998046875,10947.0703125,10869.2900390625
2018-01-24 09:00:00+00:00,10796.962,10796.962,10697.907,10697.907,10598.853,10640.240234375,10959.7998046875,10947.0703125,10869.2900390625,11120.1904296875
2018-01-24 10:00:00+00:00,10592.477,10592.477,10592.477,10592.477,10592.477,10959.7998046875,10947.0703125,10869.2900390625,11120.1904296875,11023.9501953125
2018-01-24 11:00:00+00:00,11081.315,11081.315,11081.315,10883.435,10784.494,10947.0703125,10869.2900390625,11120.1904296875,11023.9501953125,11068.0
2018-01-24 12:00:00+00:00,10877.555,10976.441,10877.555,10778.668,10877.555,10869.2900390625,11120.1904296875,11023.9501953125,11068.0,11348.0595703125
